Species,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,
Iris-setosa,4.6,3.4,1.4,0.3,0.298248272
Iris-setosa,5,3.6,1.4,0.2,0.929518206
Iris-setosa,5.4,3.4,1.7,0.2,0.987770713
Iris-virginica,6.3,2.7,4.9,1.8,0.625966665
Iris-setosa,5.5,4.2,1.4,0.2,0.359782259
Iris-versicolor,6.2,2.2,4.5,1.5,0.313791737
Iris-setosa,5.7,3.8,1.7,0.3,0.215392536
Iris-virginica,6.8,3,5.5,2.1,0.734346966
Iris-virginica,7.7,3,6.1,2.3,0.187882892
Iris-setosa,5,3.5,1.3,0.3,0.977952018
Iris-setosa,5.1,3.5,1.4,0.2,0.594954763
Iris-setosa,5.8,4,1.2,0.2,0.928985228
Iris-virginica,5.6,2.8,4.9,2,0.337070222
Iris-versicolor,5.5,2.4,3.8,1.1,0.755373971
Iris-versicolor,5.7,2.6,3.5,1,0.164058974
Iris-virginica,6.8,3.2,5.9,2.3,0.501128991
Iris-versicolor,6.4,2.9,4.3,1.3,0.287588605
Iris-setosa,5.4,3.4,1.5,0.4,0.76841612
Iris-virginica,6,3,4.8,1.8,0.543798661
Iris-virginica,5.8,2.8,5.1,2.4,0.313969745
Iris-setosa,4.8,3,1.4,0.1,0.816394819
Iris-versicolor,7,3.2,4.7,1.4,0.493939626
Iris-virginica,6.3,2.9,5.6,1.8,0.471548787
Iris-virginica,6.3,3.3,6,2.5,0.509037644
Iris-versicolor,5.7,2.8,4.5,1.3,0.365871
Iris-versicolor,6.8,2.8,4.8,1.4,0.982130349
Iris-versicolor,5.8,2.7,4.1,1,0.423536916
Iris-setosa,5,3.5,1.6,0.6,0.117226177
Iris-versicolor,6,3.4,4.5,1.6,0.819037185
Iris-versicolor,5.6,2.7,4.2,1.3,0.509971726
Iris-setosa,4.8,3.4,1.9,0.2,0.563459584
Iris-setosa,5,3.4,1.6,0.4,0.812457912
Iris-versicolor,5.5,2.3,4,1.3,0.726234846
Iris-setosa,4.9,3.1,1.5,0.1,0.949212245
Iris-versicolor,5.7,2.9,4.2,1.3,0.430389152
Iris-versicolor,5,2.3,3.3,1,0.953023844
Iris-versicolor,5.7,3,4.2,1.2,0.741880783
Iris-versicolor,5.7,2.8,4.1,1.3,0.829722893
Iris-versicolor,5.9,3.2,4.8,1.8,0.573595902
Iris-virginica,7.2,3.6,6.1,2.5,0.903608245
Iris-setosa,5,3.4,1.5,0.2,0.251386251
Iris-setosa,4.9,3.1,1.5,0.1,0.037055611
Iris-versicolor,6,2.9,4.5,1.5,0.005748073
Iris-virginica,6.3,2.5,5,1.9,0.130630112
Iris-versicolor,6.3,2.5,4.9,1.5,0.201758525
Iris-virginica,7.7,2.8,6.7,2,0.730338171
Iris-versicolor,5.6,2.5,3.9,1.1,0.236530591
Iris-setosa,5.4,3.7,1.5,0.2,0.832418201
Iris-versicolor,6.6,2.9,4.6,1.3,0.280044241
Iris-virginica,6,2.2,5,1.5,0.850677894
Iris-setosa,5.2,3.5,1.5,0.2,0.266995713
Iris-versicolor,6.1,3,4.6,1.4,0.107883063
Iris-virginica,6.3,3.4,5.6,2.4,0.994559566
Iris-versicolor,6.2,2.9,4.3,1.3,0.218928679
Iris-versicolor,6.7,3,5,1.7,0.475889417
Iris-versicolor,6.1,2.9,4.7,1.4,0.328225737
Iris-versicolor,6.7,3.1,4.4,1.4,0.052802166
Iris-versicolor,5.9,3,4.2,1.5,0.470403614
Iris-setosa,4.3,3,1.1,0.1,0.57573926
Iris-setosa,5.1,3.8,1.6,0.2,0.800412823
Iris-versicolor,5.8,2.7,3.9,1.2,0.299092205
Iris-setosa,5.1,3.7,1.5,0.4,0.353530668
Iris-setosa,5.2,4.1,1.5,0.1,0.42446398
Iris-versicolor,5.6,2.9,3.6,1.3,0.070638426
Iris-setosa,5.1,3.5,1.4,0.3,0.630177791
Iris-virginica,5.7,2.5,5,2,0.812440505
Iris-versicolor,5.2,2.7,3.9,1.4,0.564215999
Iris-versicolor,5.6,3,4.1,1.3,0.64242739
Iris-versicolor,6,2.7,5.1,1.6,0.763468004
Iris-setosa,5.1,3.3,1.7,0.5,0.160539374
Iris-setosa,4.5,2.3,1.3,0.3,0.268620048
Iris-setosa,5,3,1.6,0.2,0.930280733
Iris-virginica,5.9,3,5.1,1.8,0.336592199
Iris-virginica,6.2,2.8,4.8,1.8,0.418268934
Iris-virginica,6.4,3.2,5.3,2.3,0.704575706
Iris-versicolor,5.5,2.4,3.7,1,0.151272926
Iris-versicolor,6.7,3.1,4.7,1.5,0.787182759
Iris-virginica,5.8,2.7,5.1,1.9,0.932445452
Iris-setosa,5,3.2,1.2,0.2,0.235853167
Iris-virginica,7.7,3.8,6.7,2.2,0.254747611
Iris-setosa,5,3.3,1.4,0.2,0.402507997
Iris-virginica,7.3,2.9,6.3,1.8,0.258644759
Iris-virginica,6.4,2.8,5.6,2.1,0.203737996
Iris-versicolor,5,2,3.5,1,0.528477338
Iris-setosa,4.9,3.1,1.5,0.1,0.954337772
Iris-virginica,6.9,3.2,5.7,2.3,0.534028396
Iris-virginica,6.3,2.8,5.1,1.5,0.403735611
Iris-setosa,4.8,3.1,1.6,0.2,0.069475155
Iris-setosa,5.4,3.9,1.7,0.4,0.366581181
Iris-virginica,5.8,2.7,5.1,1.9,0.655307564
Iris-virginica,7.6,3,6.6,2.1,0.163595731
Iris-setosa,4.4,2.9,1.4,0.2,0.137726546
Iris-virginica,7.7,2.6,6.9,2.3,0.774491289
Iris-setosa,4.7,3.2,1.6,0.2,0.281269273
Iris-setosa,4.9,3,1.4,0.2,0.841059792
Iris-setosa,4.8,3,1.4,0.3,0.241543282
Iris-virginica,6.9,3.1,5.1,2.3,0.768178116
Iris-virginica,7.2,3,5.8,1.6,0.488250282
Iris-versicolor,6.4,3.2,4.5,1.5,0.556037878
Iris-versicolor,6.9,3.1,4.9,1.5,0.538586082
Iris-setosa,5.7,4.4,1.5,0.4,0.996752946
Iris-setosa,5.3,3.7,1.5,0.2,0.568707626
Iris-setosa,5.1,3.4,1.5,0.2,0.790325208
Iris-versicolor,6.1,2.8,4.7,1.2,0.963667124
Iris-virginica,7.2,3.2,6,1.8,0.334593487
Iris-virginica,6.9,3.1,5.4,2.1,0.794065012
Iris-virginica,6.5,3,5.8,2.2,0.844545482
Iris-virginica,6.7,3.1,5.6,2.4,0.440903477
Iris-setosa,5.1,3.8,1.5,0.3,0.675144374
Iris-virginica,6.4,2.8,5.6,2.2,0.113816996
Iris-virginica,6.7,3.3,5.7,2.1,0.160027002
Iris-versicolor,5.4,3,4.5,1.5,0.606400327
Iris-virginica,6.1,2.6,5.6,1.4,0.036399158
Iris-virginica,6.1,3,4.9,1.8,0.919980773
Iris-virginica,4.9,2.5,4.5,1.7,0.15816637
Iris-setosa,4.6,3.1,1.5,0.2,0.917673684
Iris-versicolor,6.1,2.8,4,1.3,0.755490183
Iris-setosa,4.6,3.6,1,0.2,0.894027436
Iris-virginica,6.5,3,5.2,2,0.994965131
